meter_id,facility_name,billing_start_date,billing_end_date,usage_value,usage_unit,tariff_type,total_cost,cost_unit,currency,supplier_name
MTR-001,North Plant,2026-11-24,2026-12-20,12450,kWh,TOU-Industrial,1850.32,Dollars,USD,Pacific Grid
MTR-001,North Plant,2026-01-13,2026-02-11,11820,kWh,TOU-Industrial,1762.18,Dollars,USD,Pacific Grid
MTR-001,North Plant,2026-05-06,2026-06-03,12990,kWh,TOU-Industrial,1940.76,Dollars,USD,Pacific Grid
MTR-001,North Plant,2026-03-13,2026-04-08,11.8,MWh,TOU-Industrial,1698.44,Dollars,USD,Pacific Grid
MTR-001,North Plant,2026-10-07,2026-11-02,13240,kWh,TOU-Industrial,1984.10,Dollars,USD,Pacific Grid
MTR-002,East Campus,2026-10-30,2026-11-30,7450,kWh,General Service,992.55,Dollars,USD,City Electric
MTR-002,East Campus,2026-01-17,2026-02-11,7120,kWh,General Service,965.21,Dollars,USD,City Electric
MTR-002,East Campus,2026-02-17,2026-03-17,6980,kWh,General Service,954.13,Dollars,USD,City Electric
MTR-002,East Campus,2026-04-30,2026-06-02,7020,kWh,General Service,971.88,Dollars,USD,City Electric
MTR-003,West Warehouse,2026-11-05,2026-11-30,3200,kWh,Warehouse Flat,420.20,Dollars,USD,Frontier Power
MTR-003,West Warehouse,2026-10-15,2026-11-12,3350,kWh,Warehouse Flat,441.18,Dollars,USD,Frontier Power
MTR-003,West Warehouse,2026-10-07,2026-11-07,3400,kWh,Warehouse Flat,448.00,Dollars,USD,Frontier Power
MTR-003,West Warehouse,2026-04-23,2026-05-25,0.01025,GWh,Warehouse Flat,1350.60,Dollars,USD,Frontier Power
MTR-004,Central Office,2026-10-29,2026-11-27,1850,kWh,Office Demand,385.75,Dollars,USD,Metro Utility
MTR-004,Central Office,2026-01-04,2026-01-31,1810,kWh,Office Demand,379.40,Dollars,USD,Metro Utility
MTR-004,Central Office,2026-08-05,2026-09-04,1785,kWh,Office Demand,372.18,Dollars,USD,Metro Utility
MTR-004,Central Office,2026-05-23,2026-06-19,1760,kWh,Office Demand,368.12,Dollars,USD,Metro Utility
MTR-005,R&D Lab,2026-04-21,2026-05-21,26500,Wh,Laboratory,820.10,Dollars,USD,Pacific Grid
MTR-005,R&D Lab,2026-02-22,2026-03-20,27.4,MWh,Laboratory,0.00195,Million Dollars,USD,Pacific Grid
MTR-005,R&D Lab,2026-07-14,2026-08-09,88000000,BTU,Laboratory,798.33,Dollars,USD,Pacific Grid
MTR-006,Cold Storage,2026-07-03,2026-08-02,22050,kWh,Refrigeration,3.13,Thousand Dollars,USD,Northline Energy
MTR-006,Cold Storage,2026-11-06,2026-12-05,21420,kWh,Refrigeration,3.01,Thousand Dollars,USD,Northline Energy
MTR-006,Cold Storage,2026-01-23,2026-02-24,21610,kWh,Refrigeration,3.04,Thousand Dollars,USD,Northline Energy
MTR-006,Cold Storage,2026-10-02,2026-10-28,21980,kWh,Refrigeration,3.09,Thousand Dollars,USD,Northline Energy
MTR-007,East Campus Annex,2026-07-13,2026-08-08,4020,kWh,General Service,522.11,Dollars,USD,City Electric
MTR-007,East Campus Annex,2026-10-10,2026-11-08,3980,kWh,General Service,515.42,Dollars,USD,City Electric
MTR-007,East Campus Annex,2026-11-18,2026-12-22,4055,kWh,General Service,527.20,Dollars,USD,City Electric
MTR-028,Remote Substation,2026-07-05,2026-08-08,5600,kWh,Industrial,-120.00,Credits,USD,Frontier Power
MTR-008,Remote Substation,2026-04-09,2026-05-05,2501,kWh,Industrial,860.15,Dollars,USD,Frontier Power
MTR-009,West Warehouse,2026-04-27,2026-05-26,3400,kWh,Warehouse Flat,448.00,Dollars,USD,Frontier Power
MTR-010,Central Office,2026-02-21,2026-03-24,1760,kWh,Office Demand,368.12,Dollars,USD,Metro Utility
MTR-011,North Plant,2026-05-23,2026-06-24,12880,kWh,TOU-Industrial,1932.50,Dollars,USD,Pacific Grid
MTR-012,Cold Storage,2026-11-22,2026-12-22,21650,kWh,Refrigeration,3048.80,Dollars,USD,Northline Energy
MTR-013,R&D Lab,2026-03-25,2026-04-24,26500,Wh,Laboratory,812.40,Dollars,USD,Pacific Grid
